,0
2030-01-07,8050.9789900000005
2030-01-14,8050.9789900000005
2030-01-21,8050.9789900000005
2030-01-28,8050.9789900000005
2030-02-04,8050.9789900000005
2030-02-11,8050.9789900000005
2030-02-18,8050.9789900000005
2030-02-25,8050.9789900000005
2030-03-04,8050.9789900000005
2030-03-11,8050.9789900000005
2030-03-18,8050.9789900000005
2030-03-25,8050.9789900000005
2030-04-01,8050.9789900000005
2030-04-08,8050.9789900000005
2030-04-15,8050.9789900000005
2030-04-22,8050.9789900000005
2030-04-29,8050.9789900000005
2030-05-06,8050.9789900000005
2030-05-13,8050.9789900000005
2030-05-20,8050.9789900000005
2030-05-27,8050.9789900000005
2030-06-03,8050.9789900000005
2030-06-10,8050.9789900000005
2030-06-17,8050.9789900000005
2030-06-24,8050.9789900000005
2030-07-01,8050.9789900000005
2030-07-08,8050.9789900000005
2030-07-15,8050.9789900000005
2030-07-22,8050.9789900000005
2030-07-29,8050.9789900000005
2030-08-05,8050.9789900000005
2030-08-12,8050.9789900000005
2030-08-19,8050.9789900000005
2030-08-26,8050.9789900000005
2030-09-02,8050.9789900000005
2030-09-09,8050.9789900000005
2030-09-16,8050.9789900000005
2030-09-23,8050.9789900000005
2030-09-30,8050.9789900000005
2030-10-07,8050.9789900000005
2030-10-14,8050.9789900000005
2030-10-21,8050.9789900000005
2030-10-28,8050.9789900000005
2030-11-04,8050.9789900000005
2030-11-11,8050.9789900000005
2030-11-18,8050.9789900000005
2030-11-25,8050.9789900000005
2030-12-02,8050.9789900000005
2030-12-09,8050.9789900000005
2030-12-16,8050.9789900000005
2030-12-23,8050.9789900000005
2030-12-30,8050.9789900000005
